category,avg_discount_percentage,max_discount,min_discount
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,14.285714285714286,21,5
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,13.333333333333334,20,0
"Electronics|Headphones,Earbuds&Accessories|Adapters",88.0,88,88
"Electronics|Headphones,Earbuds&Accessories|Cases",76.0,76,76
"Electronics|Headphones,Earbuds&Accessories|Earpads",90.0,90,90
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",58.26923076923077,85,0
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",52.375,69,6
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",69.0,74,64
Electronics|HomeAudio|Accessories|Adapters,65.0,65,65
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,73.0,73,73
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,0.0,0,0
Electronics|HomeAudio|Speakers|BluetoothSpeakers,48.5,70,25
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,38.0,38,38
Electronics|HomeAudio|Speakers|OutdoorSpeakers,56.25,60,50
Electronics|HomeAudio|Speakers|SoundbarSpeakers,60.0,60,60
Electronics|HomeAudio|Speakers|TowerSpeakers,43.0,43,43
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",36.0,36,36
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",23.0,23,23
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",59.791666666666664,88,22
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",46.333333333333336,76,31
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",50.5,59,42
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",50.0,50,50
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",59.51020408163265,83,0
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",51.166666666666664,76,15
"Electronics|HomeTheater,TV&Video|Projectors",42.666666666666664,52,35
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",51.333333333333336,60,46
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",38.285714285714285,65,0
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",52.166666666666664,63,46
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,60.333333333333336,76,40
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,72.0,72,72
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,70.75,90,38
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,58.0,73,43
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,38.0,64,7
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,51.4375,82,17
Electronics|Mobiles&Accessories|MobileAccessories|Décor,73.2,84,60
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,90.0,90,90
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",66.85714285714286,75,50
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,74.5,75,74
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,66.0,66,66
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,82.0,82,82
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,51.0,51,51
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,65.4,80,55
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,66.0,66,66
Electronics|Mobiles&Accessories|MobileAccessories|Stands,76.4,85,58
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,64.625,66,63
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,18.555555555555557,28,13
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,23.294117647058822,49,0
Electronics|PowerAccessories|SurgeProtectors,14.0,14,14
Electronics|WearableTechnology|SmartWatches,69.8157894736842,91,25
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,53.0,53,53
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,0.0,0,0
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,10.0,10,10
Home&Kitchen|CraftMaterials|PaintingMaterials,0.0,0,0
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,9.333333333333334,15,0
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,21.0,21,21
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",43.0,43,43
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",41.0,76,23
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",38.18181818181818,58,24
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",24.666666666666668,33,15
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",40.0,40,40
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",42.0,43,41
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",39.333333333333336,43,37
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",59.0,59,59
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",51.5,53,50
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",36.0,60,4
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",42.45,67,11
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",29.5,45,14
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",27.0,28,26
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",31.77777777777778,57,7
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters",48.04347826086956,71,28
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|StorageWaterHeaters",45.083333333333336,59,24
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|IroningAccessories|SprayBottles,47.0,57,37
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBags,60.0,60,60
Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,44.84615384615385,68,11
Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,60.0,60,60
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeGrinders|ElectricGrinders",51.0,51,51
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",56.333333333333336,60,50
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",27.0,27,27
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines",37.4,50,17
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",17.0,17,17
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",41.333333333333336,54,27
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",54.0,54,54
Home&Kitchen|Kitchen&HomeAppliances|SewingMachines&Accessories|Sewing&EmbroideryMachines,40.5,52,19
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,39.0,39,39
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,44.0,75,24
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,53.9,90,3
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,23.5,47,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,52.90909090909091,71,35
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,41.68421052631579,74,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,42.0,64,30
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,44.9,59,32
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,44.166666666666664,77,20
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,52.5,77,28
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers,47.0,47,47
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,39.0,60,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,44.23076923076923,76,27
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Mills&Grinders|WetGrinders,21.5,29,14
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers,41.875,59,20
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,43.96296296296296,63,14
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills,9.5,15,4
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,13.0,39,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,31.8,45,25
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,33.0,33,33
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,32.36363636363637,68,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,8.0,8,8
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,0.0,0,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|StandMixers,48.0,48,48
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,31.428571428571427,60,0
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons,53.333333333333336,55,50
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,55.0,55,55
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",34.25,55,3
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",23.833333333333332,62,8
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",51.31818181818182,80,12
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",44.333333333333336,47,40
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",49.0,49,49
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",28.25,40,10
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",37.75,55,16
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|RoboticVacuums",45.0,53,37
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",43.666666666666664,63,25
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,3.0,6,0
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,42.5,80,0
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,40.81818181818182,86,0
HomeImprovement|Electrical|Adapters&Multi-Outlets,57.0,57,57
HomeImprovement|Electrical|CordManagement,58.0,58,58
MusicalInstruments|Microphones|Condenser,46.0,60,32
OfficeProducts|OfficeElectronics|Calculators|Basic,0.0,0,0
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,0.0,0,0
OfficeProducts|OfficeElectronics|Calculators|Scientific,2.5,5,0
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,0.0,0,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",53.0,53,53
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",12.0,31,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",62.0,75,49
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",5.75,14,2
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",5.0,10,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",0.0,0,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",0.0,0,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",5.0,10,0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",17.5,20,15
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",13.0,24,0
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,0.0,0,0
